global_step,episode,episode_return,episode_length,success,collision,off_route,agents_alive_done,stagnation,timeout,terminal_reason
3255,18,-1.217,217,0,0,1,0,0,0,off_route
3452,19,-1.197,197,0,0,1,0,0,0,off_route
3634,20,-1.182,182,0,0,1,0,0,0,off_route
3844,21,-1.2100000000000002,210,0,0,1,0,0,0,off_route
3967,22,-1.1064376011617465,123,0,1,0,0,0,0,collision
4152,23,-1.185,185,0,0,1,0,0,0,off_route
4205,24,-1.036568220754802,53,0,1,0,0,0,0,collision
4439,25,-1.234,234,0,0,1,0,0,0,off_route
4622,26,-1.183,183,0,0,1,0,0,0,off_route
4653,27,-1.0030778305067796,31,0,1,0,0,0,0,collision
4692,28,-1.0172434727499478,39,0,1,0,0,0,0,collision
4745,29,-1.027793998831872,53,0,1,0,0,0,0,collision
4957,30,-1.212,212,0,0,1,0,0,0,off_route
4989,31,-1.0051845406409314,32,0,1,0,0,0,0,collision
5012,32,-1.0021392194123715,23,0,1,0,0,0,0,collision
5046,33,-1.0141098760512168,34,0,1,0,0,0,0,collision
5108,34,-1.047859452561327,62,0,1,0,0,0,0,collision
5299,35,-1.191,191,0,0,1,0,0,0,off_route
5363,36,-1.044914182245947,64,0,1,0,0,0,0,collision
5558,37,-1.1949999999999998,195,0,0,1,0,0,0,off_route
5763,38,-1.205,205,0,0,1,0,0,0,off_route
5948,39,-1.185,185,0,0,1,0,0,0,off_route
6173,40,-1.2249999999999999,225,0,0,1,0,0,0,off_route
6344,41,-1.171,171,0,0,1,0,0,0,off_route
6539,42,-1.195,195,0,0,1,0,0,0,off_route
6745,43,0.8084414841639203,206,1,0,0,0,0,0,success
6942,44,-1.197,197,0,0,1,0,0,0,off_route
7158,45,-1.2160000000000002,216,0,0,1,0,0,0,off_route
7348,46,-1.19,190,0,0,1,0,0,0,off_route
7520,47,-1.1720000000000002,172,0,0,1,0,0,0,off_route
7719,48,-1.199,199,0,0,1,0,0,0,off_route
7759,49,-1.0085411521381686,40,0,1,0,0,0,0,collision
7983,50,-1.224,224,0,0,1,0,0,0,off_route
8173,51,-1.19,190,0,0,1,0,0,0,off_route
8366,52,-1.1929999999999998,193,0,0,1,0,0,0,off_route
8596,53,-1.2300000000000002,230,0,0,1,0,0,0,off_route
8786,54,-1.19,190,0,0,1,0,0,0,off_route
8957,55,-1.1710000000000003,171,0,0,1,0,0,0,off_route
9171,56,-1.214,214,0,0,1,0,0,0,off_route
9388,57,-1.217,217,0,0,1,0,0,0,off_route
9607,58,-1.219,219,0,0,1,0,0,0,off_route
9797,59,-1.1900000000000002,190,0,0,1,0,0,0,off_route
10003,60,-1.2060000000000002,206,0,0,1,0,0,0,off_route
10194,61,-1.191,191,0,0,1,0,0,0,off_route
10396,62,-1.2020000000000002,202,0,0,1,0,0,0,off_route
10589,63,-1.193,193,0,0,1,0,0,0,off_route
10811,64,-1.222,222,0,0,1,0,0,0,off_route
11041,65,-1.23,230,0,0,1,0,0,0,off_route
11235,66,-1.194,194,0,0,1,0,0,0,off_route
11435,67,-1.2,200,0,0,1,0,0,0,off_route
11645,68,-1.21,210,0,0,1,0,0,0,off_route
11837,69,-1.1920000000000002,192,0,0,1,0,0,0,off_route
12034,70,-1.197,197,0,0,1,0,0,0,off_route
12237,71,-1.2029999999999998,203,0,0,1,0,0,0,off_route
12421,72,-1.1840000000000002,184,0,0,1,0,0,0,off_route
12609,73,-1.188,188,0,0,1,0,0,0,off_route
12812,74,-1.203,203,0,0,1,0,0,0,off_route
12993,75,-1.181,181,0,0,1,0,0,0,off_route
13223,76,-1.23,230,0,0,1,0,0,0,off_route
13418,77,-1.195,195,0,0,1,0,0,0,off_route
13610,78,-1.1920000000000002,192,0,0,1,0,0,0,off_route
13650,79,-1.0089550768388613,40,0,1,0,0,0,0,collision
13758,80,-1.0983326382635288,108,0,1,0,0,0,0,collision
13962,81,-1.2040000000000002,204,0,0,1,0,0,0,off_route
14043,82,-1.0676357978154576,81,0,1,0,0,0,0,collision
14266,83,-1.223,223,0,0,1,0,0,0,off_route
14464,84,-1.1980000000000002,198,0,0,1,0,0,0,off_route
14684,85,-1.2200000000000002,220,0,0,1,0,0,0,off_route
14745,86,-1.046490528825764,61,0,1,0,0,0,0,collision
14980,87,-1.2349999999999999,235,0,0,1,0,0,0,off_route
15179,88,-1.1989999999999998,199,0,0,1,0,0,0,off_route
15360,89,-1.181,181,0,0,1,0,0,0,off_route
15595,90,-1.235,235,0,0,1,0,0,0,off_route
15795,91,-1.2,200,0,0,1,0,0,0,off_route
16019,92,-1.224,224,0,0,1,0,0,0,off_route
16220,93,-1.201,201,0,0,1,0,0,0,off_route
16446,94,-1.226,226,0,0,1,0,0,0,off_route
16646,95,-1.2000000000000002,200,0,0,1,0,0,0,off_route
16864,96,-1.218,218,0,0,1,0,0,0,off_route
17096,97,-1.232,232,0,0,1,0,0,0,off_route
17309,98,-1.2129999999999999,213,0,0,1,0,0,0,off_route
17410,99,-1.0876679385142636,101,0,1,0,0,0,0,collision
17626,100,-1.216,216,0,0,1,0,0,0,off_route
17841,101,-1.2149999999999999,215,0,0,1,0,0,0,off_route
18056,102,-1.215,215,0,0,1,0,0,0,off_route
18269,103,-1.2129999999999999,213,0,0,1,0,0,0,off_route
18493,104,-1.224,224,0,0,1,0,0,0,off_route
18706,105,-1.2129999999999999,213,0,0,1,0,0,0,off_route
18943,106,-1.237,237,0,0,1,0,0,0,off_route
19209,107,-1.266,266,0,0,1,0,0,0,off_route
19462,108,-1.253,253,0,0,1,0,0,0,off_route
19708,109,-1.2460000000000002,246,0,0,1,0,0,0,off_route
19729,110,-1.009001245205178,21,0,1,0,0,0,0,collision
19744,111,-0.9861821705040534,15,0,1,0,0,0,0,collision
19788,112,-1.0263934844704459,44,0,1,0,0,0,0,collision
19806,113,-0.9988108191437973,18,0,1,0,0,0,0,collision
19853,114,-1.0405372043961947,47,0,1,0,0,0,0,collision
19866,115,-0.9785588911887363,13,0,1,0,0,0,0,collision
19907,116,-1.0290071501385536,41,0,1,0,0,0,0,collision
20124,117,-1.217,217,0,0,1,0,0,0,off_route
20139,118,-0.9868936328285082,15,0,1,0,0,0,0,collision
20174,119,-1.0188802745958538,35,0,1,0,0,0,0,collision
20422,120,-1.2480000000000002,248,0,0,1,0,0,0,off_route
20699,121,-1.2770000000000001,277,0,0,1,0,0,0,off_route
20717,122,-1.0009927881384868,18,0,1,0,0,0,0,collision
20768,123,-1.0401323711569754,51,0,1,0,0,0,0,collision
21008,124,-1.24,240,0,0,1,0,0,0,off_route
21050,125,-1.0367948783412329,42,0,1,0,0,0,0,collision
21313,126,-1.263,263,0,0,1,0,0,0,off_route
21603,127,-1.2900000000000003,290,0,0,1,0,0,0,off_route
21874,128,-1.2710000000000001,271,0,0,1,0,0,0,off_route
21899,129,-1.0125377485601987,25,0,1,0,0,0,0,collision
22146,130,-1.2470000000000003,247,0,0,1,0,0,0,off_route
22177,131,-1.0224336262349287,31,0,1,0,0,0,0,collision
22433,132,-1.256,256,0,0,1,0,0,0,off_route
22452,133,-1.0027296614986188,19,0,1,0,0,0,0,collision
22716,134,-1.264,264,0,0,1,0,0,0,off_route
22968,135,-1.252,252,0,0,1,0,0,0,off_route
23010,136,-1.0166894701586746,42,0,1,0,0,0,0,collision
23031,137,-1.003096663361991,21,0,1,0,0,0,0,collision
23074,138,-1.023852876971793,43,0,1,0,0,0,0,collision
23092,139,-0.9977564636498328,18,0,1,0,0,0,0,collision
23354,140,-1.262,262,0,0,1,0,0,0,off_route
23569,141,-1.215,215,0,0,1,0,0,0,off_route
23818,142,-1.2489999999999999,249,0,0,1,0,0,0,off_route
23885,143,-1.0506324915166982,67,0,1,0,0,0,0,collision
23906,144,-1.0116560948290902,21,0,1,0,0,0,0,collision
23995,145,-1.0713855718064573,89,0,1,0,0,0,0,collision
24282,146,-1.2870000000000001,287,0,0,1,0,0,0,off_route
24531,147,-1.249,249,0,0,1,0,0,0,off_route
24597,148,-1.060872077568295,66,0,1,0,0,0,0,collision
24859,149,-1.262,262,0,0,1,0,0,0,off_route
24990,150,-1.123187860398284,131,0,1,0,0,0,0,collision
25289,151,-0.28157886005528776,299,0,0,0,0,0,1,timeout
25404,152,-1.1108118632918766,115,0,1,0,0,0,0,collision
25544,153,-1.1285537342568617,140,0,1,0,0,0,0,collision
25601,154,-1.0499281518534005,57,0,1,0,0,0,0,collision
25677,155,-1.0673405642189702,76,0,1,0,0,0,0,collision
25976,156,-1.2990000000000002,299,0,0,1,0,0,0,off_route
26275,157,-0.27968770892302713,299,0,0,0,0,0,1,timeout
26574,158,-0.2910061504089194,299,0,0,0,0,0,1,timeout
26873,159,-0.28004162365026647,299,0,0,0,0,0,1,timeout
27172,160,-0.29331202482417573,299,0,0,0,0,0,1,timeout
27285,161,-1.1067270659964241,113,0,1,0,0,0,0,collision
27398,162,-1.1087986217130799,113,0,1,0,0,0,0,collision
27521,163,-1.1144540055864876,123,0,1,0,0,0,0,collision
27795,164,-1.274,274,0,0,1,0,0,0,off_route
27928,165,-1.1210900591371162,133,0,1,0,0,0,0,collision
28227,166,-0.29143525622648786,299,0,0,0,0,0,1,timeout
28526,167,-0.2924621392000272,299,0,0,0,0,0,1,timeout
28825,168,-0.29045642115180575,299,0,0,0,0,0,1,timeout
29124,169,-0.29551431078876056,299,0,0,0,0,0,1,timeout
29140,170,-0.9846107909730494,16,0,1,0,0,0,0,collision
29439,171,-0.2918780765754383,299,0,0,0,0,0,1,timeout
29738,172,-0.2903584559144455,299,0,0,0,0,0,1,timeout
30037,173,-0.29235252839434833,299,0,0,0,0,0,1,timeout
30053,174,-0.9892822932607988,16,0,1,0,0,0,0,collision
30172,175,-1.1067568270821508,119,0,1,0,0,0,0,collision
30471,176,-0.29048573126240973,299,0,0,0,0,0,1,timeout
30588,177,-1.108003315399771,117,0,1,0,0,0,0,collision
30887,178,-0.29464698328930145,299,0,0,0,0,0,1,timeout
30908,179,-1.0013412466672256,21,0,1,0,0,0,0,collision
31207,180,-0.2896318289991603,299,0,0,0,0,0,1,timeout
31506,181,-0.29144676335851344,299,0,0,0,0,0,1,timeout
31523,182,-0.9939818962940854,17,0,1,0,0,0,0,collision
31822,183,-0.2941094886659015,299,0,0,0,0,0,1,timeout
32121,184,-0.28474863521110955,299,0,0,0,0,0,1,timeout
32420,185,-0.29093651584730873,299,0,0,0,0,0,1,timeout
32547,186,-1.1183150676636526,127,0,1,0,0,0,0,collision
32846,187,-0.29526389874980075,299,0,0,0,0,0,1,timeout
32977,188,-1.1176352521053259,131,0,1,0,0,0,0,collision
33276,189,-0.29024073136940354,299,0,0,0,0,0,1,timeout
33360,190,-1.078355613044433,84,0,1,0,0,0,0,collision
33659,191,-0.2919258177209964,299,0,0,0,0,0,1,timeout
33958,192,-0.29545537008021144,299,0,0,0,0,0,1,timeout
34257,193,-0.2922419494458077,299,0,0,0,0,0,1,timeout
34556,194,-0.291861265944278,299,0,0,0,0,0,1,timeout
34572,195,-0.9944436983610271,16,0,1,0,0,0,0,collision
34871,196,-0.29353748857536877,299,0,0,0,0,0,1,timeout
34988,197,-1.1050698100962644,117,0,1,0,0,0,0,collision
35287,198,-0.2793182626681541,299,0,0,0,0,0,1,timeout
35586,199,-0.28170006112312723,299,0,0,0,0,0,1,timeout
35885,200,-0.27825518131366817,299,0,0,0,0,0,1,timeout
36184,201,-0.2802608016521111,299,0,0,0,0,0,1,timeout
36483,202,-0.29290213441492763,299,0,0,0,0,0,1,timeout
36782,203,-0.2849350905820579,299,0,0,0,0,0,1,timeout
37081,204,-0.28559300643596547,299,0,0,0,0,0,1,timeout
37380,205,-0.28243454122765793,299,0,0,0,0,0,1,timeout
37679,206,-0.28658791024942115,299,0,0,0,0,0,1,timeout
37945,207,-1.266,266,0,0,1,0,0,0,off_route
38051,208,-1.0919623863616241,106,0,1,0,0,0,0,collision
38118,209,-1.0551903990817868,67,0,1,0,0,0,0,collision
38255,210,-1.1200319256125477,137,0,1,0,0,0,0,collision
38554,211,-0.2878163608654638,299,0,0,0,0,0,1,timeout
38853,212,-0.2793007153023354,299,0,0,0,0,0,1,timeout
39152,213,-0.2932199547310706,299,0,0,0,0,0,1,timeout
39451,214,-0.28072001745909264,299,0,0,0,0,0,1,timeout
39750,215,-0.28810229670581655,299,0,0,0,0,0,1,timeout
40049,216,-0.28901868254147284,299,0,0,0,0,0,1,timeout
40348,217,-0.2872992837114958,299,0,0,0,0,0,1,timeout
40647,218,-0.28905032911001516,299,0,0,0,0,0,1,timeout
40946,219,-0.2821379418576599,299,0,0,0,0,0,1,timeout
41072,220,-1.1143482946672116,126,0,1,0,0,0,0,collision
41371,221,-0.2990000000000001,299,0,0,0,0,0,1,timeout
41670,222,-0.27526607257864993,299,0,0,0,0,0,1,timeout
41969,223,-0.2849369682085941,299,0,0,0,0,0,1,timeout
42268,224,-0.2870217789449589,299,0,0,0,0,0,1,timeout
42567,225,-0.2903472194095488,299,0,0,0,0,0,1,timeout
